id,split,question,answer,has_options
train_192,train,How is influenza treated?,"radiation, insulin",True
train_193,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_194,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_195,train,What are the symptoms of migraine?,"chest_pain, joint_pain, fever",True
train_196,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_197,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_198,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_199,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_200,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_201,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_202,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_203,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_204,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_205,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_206,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_207,train,How is stroke treated?,"insulin, radiation",True
train_208,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_209,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_210,train,How is influenza treated?,"antivirals, surgery",True
train_211,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_212,train,How is arthritis treated?,"ibuprofen, physical_therapy",True
train_213,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_214,train,How is cancer treated?,"vaccination, radiation",True
train_215,train,How is depression treated?,"vaccination, insulin",True
train_216,train,What are the symptoms of asthma?,"headache, chest_pain, cough",True
train_217,train,How is depression treated?,"antibiotics, vaccination",True
train_218,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_219,train,What are the symptoms of influenza?,"chest_pain, headache, fatigue",True
train_220,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_221,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_222,train,What are the symptoms of hypertension?,"pain, joint_pain, dizziness",True
train_223,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_224,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_225,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_226,train,How is stroke treated?,"chemotherapy, insulin",True
train_227,train,What are the symptoms of diabetes?,"nausea, fever, headache",True
train_228,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_229,train,What are the symptoms of asthma?,"pain, chest_pain, fever",True
train_230,train,How is arthritis treated?,"ibuprofen, chemotherapy",True
train_231,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_232,train,How is hypertension treated?,"physical_therapy, vaccination",True
train_233,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_234,train,What are the symptoms of arthritis?,"dizziness, nausea, fever",True
train_235,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_236,train,What are the symptoms of migraine?,"pain, chest_pain, fatigue",True
train_237,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_238,train,How is pneumonia treated?,"chemotherapy, surgery",True
train_239,train,What are the symptoms of pneumonia?,"dizziness, joint_pain, cough",True
train_240,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_241,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_242,train,How is influenza treated?,"antibiotics, antivirals",True
train_243,train,How is stroke treated?,"vaccination, radiation",True
train_244,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_245,train,What are the symptoms of pneumonia?,"chest_pain, joint_pain, fever",True
train_246,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_247,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_248,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_249,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_250,train,What are the symptoms of hypertension?,"chest_pain, cough, fatigue",True
train_251,train,How is influenza treated?,"aspirin, chemotherapy",True
train_252,train,How is depression treated?,"chemotherapy, ibuprofen",True
train_253,train,What are the symptoms of cancer?,"fatigue, headache, nausea",True
train_254,train,What are the symptoms of depression?,"nausea, pain, shortness_of_breath",True
train_255,train,What are the symptoms of stroke?,"joint_pain, fatigue, fever",True
train_256,train,How is influenza treated?,"aspirin, surgery",True
train_257,train,What are the symptoms of migraine?,"nausea, dizziness, fever",True
train_258,train,How is influenza treated?,"antibiotics, insulin",True
train_259,train,What are the symptoms of hypertension?,"fatigue, fever, shortness_of_breath",True
train_260,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_261,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_262,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_263,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_264,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_265,train,How is cancer treated?,"surgery, ibuprofen",True
train_266,train,How is influenza treated?,"antibiotics, vaccination",True
train_267,train,What are the symptoms of cancer?,"pain, nausea, dizziness",True
train_268,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_269,train,What are the symptoms of hypertension?,"nausea, fever, headache",True
train_270,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_271,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_272,train,What are the symptoms of hypertension?,"nausea, fatigue, dizziness",True
train_273,train,What are the symptoms of migraine?,"shortness_of_breath, nausea, dizziness",True
train_274,train,How is hypertension treated?,"ibuprofen, radiation",True
train_275,train,What are the symptoms of cancer?,"shortness_of_breath, joint_pain, nausea",True
train_276,train,What are the symptoms of asthma?,"shortness_of_breath, fatigue, joint_pain",True
train_277,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_278,train,How is arthritis treated?,"vaccination, antibiotics",True
train_279,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_280,train,How is asthma treated?,"chemotherapy, radiation",True
train_281,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_282,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_283,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_284,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_285,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_286,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_287,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_288,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_289,train,What are the symptoms of stroke?,"fatigue, fever, nausea",True
train_290,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_291,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_292,train,How is migraine treated?,"chemotherapy, antibiotics",True
train_293,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_294,train,How is migraine treated?,"chemotherapy, antibiotics",True
train_295,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_296,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_297,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_298,train,What are the symptoms of depression?,"shortness_of_breath, pain, fatigue",True
train_299,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_300,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_301,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_302,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_303,train,How is stroke treated?,"physical_therapy, surgery",True
train_304,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_305,train,How is pneumonia treated?,"vaccination, physical_therapy",True
train_306,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_307,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_308,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_309,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_310,train,How is diabetes treated?,"radiation, surgery",True
train_311,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_312,train,What are the symptoms of cancer?,"joint_pain, fever, chest_pain",True
train_313,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_314,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_315,train,What are the symptoms of pneumonia?,"pain, cough, headache",True
train_316,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_317,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_318,train,How is arthritis treated?,"chemotherapy, physical_therapy",True
train_319,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_320,train,What are the symptoms of cancer?,"headache, pain, fever",True
train_321,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_322,train,What are the symptoms of pneumonia?,"nausea, cough, pain",True
train_323,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_324,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_325,train,How is pneumonia treated?,"aspirin, antivirals",True
train_326,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_327,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_328,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_329,train,What are the symptoms of depression?,"joint_pain, cough, pain",True
train_330,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_331,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
